title,release_date,recommend,user_id
Oddworld Munchs Oddysee,2010-12-20,True,Tudah
Rhythm Zone DJ Table Visualizer DLC,2010-11-09,True,Tudah
Oddworld Strangers Wrath HD,2010-12-20,True,Tunnocks
Clickr,2010-12-23,True,76561198120479313
Back to the Future The Game,2010-12-23,True,ceruleansketchcat
Grand Theft Auto III,2002-05-21,False,76561198149939310
Grand Theft Auto San Andreas,2005-06-06,False,falfouchinskaia
Lara Croft GoL Raziel and Kain Character Pack,2011-01-07,False,valvoman
Lara Croft GoL Things that Go Boom  Challenge Pack ,2011-01-07,True,bongsweremadebybongocomics
Lara Croft GoL Hazardous Reunion  Challenge Pack ,2011-01-07,True,76561198066004879
Lara Croft GoL All the Trappings  Challenge Pack ,2011-01-07,True,vengerfire
Grand Theft Auto Vice City,2003-05-13,True,76561197971285616
Zeit,2011-01-12,False,76561197976177356
ARES Extinction Agenda,2011-01-20,True,_Enlightenment_
APOX,2011-01-20,True,dontdisturbthecoffee
Dead Space ,2011-01-25,True,76561198074076427
Drawn The Painted Tower,2011-01-19,False,thombelcar
Kaptain Brawe A Brawe New World,2011-01-20,True,thombelcar
Monday Night Combat,2011-01-24,True,thombelcar
Luxor th Passage,2011-01-25,True,37755753
Alien Soldier,2011-01-26,True,37755753
Shining in the Darkness,2011-01-26,True,37755753
Light Crusader,2011-01-26,True,37755753
Landstalker The Treasures of King Nole,2011-01-26,True,37755753
Gunstar Heroes,2011-01-26,True,76561198042666584
ToeJam amp Earl,2011-01-26,True,vxwolf368
Streets of Rage ,2011-01-26,False,Foxxy346
Sonic The Hedgehog ,2011-01-26,False,Foxxy346
Streets of Rage,2011-01-26,True,subsonicsnigger
Shining Force II,2011-01-26,True,Helpsme
Shining Force,2011-01-26,False,76561198090018608
The Sims ,2009-06-02,False,76561198036077253
Ship Simulator Extremes Sigita Pack,2011-01-26,True,76561198072355008
The Sims  Fast Lane Stuff,2010-09-07,False,wilsonufs
The Sims  Late Night,2010-10-26,False,carterbegrie
The Sims  Ambitions,2010-06-02,True,yungwarez
The Sims  HighEnd Loft Stuff,2010-02-02,False,xhog
Trino,2011-01-27,True,xJerkensteinx
Mishap  An Intentional Haunting  Collectors Edition,2011-01-28,False,YoloGhost
The Sims  Outdoor Living Stuff,2011-02-01,False,76561198018469813
Whos That Flying,2011-01-31,True,maibiglargebuttocks
Myst Masterpiece Edition,2011-02-02,True,ZONEcold
Guardians of Graxia Elves amp Dwarves,2011-02-01,True,MyZan1ty
Two Worlds II HD,2011-02-03,True,JyizerHD
Test Drive Unlimited ,Feb 2011,True,Tydirium_762
King Arthur The Druids,2011-02-03,True,pootispentry
Gratuitous Space Battles Galactic Conquest,2011-02-11,True,y__tho
The Kings Crusade New Allies,2011-02-09,True,SuperSalter3000
DUNGEONS  Steam Special Edition,2011-02-10,True,SuperSalter3000
AI War Light of the Spire,2011-02-14,False,hentai_overlord
Drakensang The River of Time,2011-01-11,True,The_Eyepatch
RISK Factions,2011-03-08,True,76561198014210785
Crazy Machines  Time Travel AddOn,2011-03-11,False,archy18
BITTRIP RUNNER,2011-02-28,True,Wangachung
Homefront,2011-03-14,True,mark3888
Fate of the World,2011-02-28,True,mark3888
BUTTON Brutally Unfair Tactics Totally OK Now,2011-02-28,True,mark3888
Warhammer  Dawn of War II  Retribution Ork Race Pack,2011-02-28,True,76561198097177685
Warhammer  Dawn of War II  Retribution Imperial Guard Race Pack,2011-02-28,True,JiAltair
Warhammer  Dawn of War II  Retribution Eldar Race Pack,2011-02-28,True,juzzfuzz
Warhammer  Dawn of War II  Retribution Chaos Space Marines Race Pack,2011-02-28,True,76561198049524520
RIFT,2013-10-24,False,Rawex
Warhammer  Dawn of War II Retribution,2011-02-28,True,Rawex
Dinner Date,2011-03-01,True,Rawex
Warhammer  Dawn of War II  Retribution Space Marines Race Pack,2011-02-28,True,northisbae
Shadow Harvest Phantom Ops,2011-04-05,True,76561198080157237
Cities in Motion Design Classics,2011-04-05,True,lambofreak4ever
Ship Simulator Extremes Ferry Pack,2011-04-05,False,Dankulicious
Warhammer  Dawn of War II Retribution Dark Angels Pack,2011-04-06,True,KingBlobfish
STCC The Game   Expansion Pack for RACE ,2011-04-08,False,KingBlobfish
Anomaly Warzone Earth,2011-04-08,True,movienationscom
Armada ,2010-06-10,True,movienationscom
Darkest Hour A Hearts of Iron Game,2011-04-08,True,X-Evolution
Dungeons Into the Dark DLC Pack,2011-04-11,True,MladshiyLlama
Dino DDay,2011-04-08,True,76561198077295459
Patrician IV Rise of a Dynasty,2011-04-11,False,dalebaxter
Portal ,2011-04-18,True,76561198101093216
Magicka Vietnam,2011-04-12,True,76561198101093216
Sanctum,2011-04-15,True,QuirkyChicken
Majesty  Collection,2011-04-19,True,_steelphantom
Warhammer  Dawn of War II  Retribution  Mekboy Wargear DLC,2011-05-26,True,AquilliusRanger
Dawn of War II Retribution  The Last Stand,2011-04-20,True,Slavishbear
Warhammer  Dawn of War II  Retribution  Farseer Wargear DLC,2011-05-26,True,Slavishbear
Frozen Synapse,2011-05-26,True,76561198092674729
Warhammer  Dawn of War II Retribution  Captain Wargear DLC,2011-05-26,True,itsaprofileaboutnothing
Hunted The Demons Forge,2011-05-30,True,me11111111
Hamiltons Great Adventure,2011-05-31,True,fab2cent
The Sims  Generations,2011-05-31,True,daboiz
Cities in Motion Tokyo,2011-05-31,False,76561198052612696
Magicka Nippon,2011-05-31,True,neadekvat161
Ghostbusters Sanctum of Slime Challenge Pack DLC,2011-06-01,True,overwatchmemelord
Still Life ,2009-08-10,True,765611983889673
Still Life,2005-06-06,True,Pikachu_LOL
Call of Duty Black Ops Escalation Content Pack,2011-06-02,True,Nanaya_Shiki
Dungeon Siege III,2011-06-20,True,76561198044577103
AVA Alliance of Valiant Arms,2011-06-14,True,76561198045400287
Champions Online,2009-09-01,True,76561198066084176
Spectromancer  Truth amp Beauty,2011-06-13,True,76561198066084176
Cities in Motion Design Now,2011-06-14,False,spudgee
Two Worlds II Castle Defense,2011-06-14,False,CalvinHazard
The Cat and the Coup,2011-06-15,True,mopkap
Magic The Gathering  Duels of the Planeswalkers ,2011-06-15,False,loadsamoney
Ancients of Ooga,2011-05-20,False,loadsamoney
Beat Hazard Ultra,2011-06-16,False,loadsamoney
Frozen Synapse Soundtrack,2011-06-16,False,loadsamoney
Solar ,2011-06-17,False,loadsamoney
Ironclads Schleswig War ,2011-06-21,True,loadsamoney
Ironclads Anglo Russian War ,2011-06-21,True,Hati_Hati_Hati_Hati_Hati_Hati
Magicka Final Frontier,2011-06-21,False,76561198157640176
Ironclads Chincha Islands War ,2011-06-21,True,76561198157640176
FEAR ,2011-06-21,True,deatheffekt
Magicka Frozen Lake,2011-06-21,True,reflexaus
Magicka The Watchtower,2011-06-21,True,reflexaus
Trainz Simulator DLC The Duchess,2011-06-22,True,123joshua321
Magicka Party Robes,2011-06-21,False,76561198019231133
Europa Universalis III Western  AD  Spritepack,2011-06-23,True,DMbug
Dungeons and Dragons Daggerdale,2011-06-24,True,76561198079298522
RETRO  Expansion Pack for RACE ,2011-06-23,True,aamonrai132
Farming Simulator  Equipment Pack ,2011-06-24,True,r34d_4nd_w33p
Europa Universalis III Eastern  AD  Spritepack,2011-06-23,True,Lolicon_Banzai
Hearts of Iron III For the Motherland,2011-06-28,True,KentuckyFriedSpy
Worms Reloaded Puzzle Pack,2011-06-30,True,WhiteAfrican
Worms Reloaded Retro Pack,2011-06-30,True,TheOnlyT6
Worms Reloaded Time Attack Pack,2011-06-30,True,alexisacoolhuman
Dungeons Map Pack DLC,2011-07-01,True,AlanJack102
Worms Reloaded Forts Pack,2011-06-30,True,TwoPixel
Puzzle Agent ,2011-06-30,True,amr_
Killing Floor Steampunk Character Pack,2011-07-02,True,76561198067361221
Pride of Nations SpanishAmerican War ,2011-07-18,True,Anywher
Tobes Vertical Adventure,2011-07-18,True,EGGSaus
Fallout New Vegas Old World Blues,2011-07-18,True,aperture_sandvich
Warhammer  Dawn of War II Retribution  Ulthwe Wargear DLC,2011-07-19,True,whafam
Lucid,2011-07-19,True,Archimedesthemagicalbird
Train Simulator BR Class  CIG Loco,2011-07-19,True,76561198040257934
Homefront Express  Shotgun,2011-07-21,True,arthur-dent
Runespell Overture,2011-07-20,True,AsherFatin
Men of War Assault Squad  Skirmish Pack,2011-07-21,True,09879655452567
Delve Deeper Treasures and Tunnels,2011-07-22,True,B-HopperTr0LL
ARES Berzerker Suit,2011-07-22,False,Baileaf
Cities in Motion Metro Stations,2011-07-22,True,76561198065661382
Nancy Drew Secrets Can Kill REMASTERED,2010-08-24,True,76561198065661382
ARMA Cold War Assault,2011-08-08,False,76561198065661382
SpaceChem  Corvi,2011-07-22,True,baranaka
Tropico ,2011-09-01,True,thelazybrowniemkii
Nancy Drew The Captive Curse,2011-06-28,True,76561198301150825
Nancy Drew Trail of the Twister,2010-06-29,False,BZ4LIFE
The Clockwork Man,2011-08-10,True,76561198267779591
Pride of Nations American Civil War ,2011-08-10,True,BecauseImSAD
EDGE,2011-08-11,True,OG1
Civilization V  Civ and Scenario Pack Korea,2011-08-11,True,llamaemperor
Civilization V  Scenario Pack Wonders of the Ancient World,2011-08-11,True,birdpleb
Sanctum Official Soundtrack,2011-08-12,True,bizarrues
Hacker Evolution Duality,2011-08-15,True,myles101
Space Pirates and Zombies,2011-08-15,True,Skrytwo
Section  Prejudice Frontier Colonies Map Pack,2011-08-16,True,Skrytwo
Section  Prejudice Blitz Pack,2011-08-16,False,2spooky
Section  Prejudice Overdrive Map Pack,2011-08-16,True,2spooky
Warhammer  Dawn of War II  Ultramarines Pack,2011-08-16,True,Bonkbonkerson
Fallout New Vegas Lonesome Road,2011-09-20,False,76561198072103064
Puzzle Pirates,2011-08-31,True,imacatseeulr
The Baconing,2011-08-31,True,imacatseeulr
Warhammer  Space Marine,2011-09-05,True,imacatseeulr
Men of War Vietnam,2011-09-08,True,negrosarcastico
Hard Reset Extended Edition,2012-07-12,True,BlockStabFatality
Pride of Nations The FrancoPrussian War ,2011-09-06,True,544183980
Wasteland Angel,2011-09-01,True,buggy00
Rock of Ages,2011-09-07,False,dogapp
Red Orchestra  Heroes of Stalingrad with Rising Storm,2011-09-13,True,totesnotahacker
Cities in Motion German Cities,2011-09-14,True,captainquickler
Magic The Gathering   Expansion,2011-09-14,True,Castor_E
Sengoku,2011-09-15,True,Castor_E
Astro Tripper,2011-09-15,True,Castor_E
Nancy Drew Shadow at the Waters Edge,2010-10-19,False,76561198033432863
Two Worlds II  Pirates of the Flying Fortress,2011-09-20,True,dannysfatass
Bunch of Heroes,2011-09-21,True,hopeandchaos
Duke Nukem Forever Hail to the Icons Parody Pack,2011-10-11,True,checkm80
Supreme Commander Forged Alliance,2011-09-28,True,megatetsujin28
The Binding of Isaac,2011-09-28,False,76561198021700114
Farming Simulator  Equipment Pack ,2011-09-29,True,ParaChymp
OffRoad Drive,2011-09-29,True,Frostbyte69
Supreme Commander,2007-02-20,False,NickMcGrath
Fate of the World Tipping Point,2011-09-29,True,roitethere
Post Apocalyptic Mayhem DLC  Chaos Pack,2011-09-29,True,c1u
Fate of the World Denial,2011-09-29,True,76561198071176877
Fate of the World Migration,2011-09-29,False,CookedTuna
Sniper Ghost Warrior  Second Strike,2011-09-09,True,CookedTuna
Air Conflicts Secret Wars,2011-09-30,True,CorsairCrossley
Fate of the World Extras Pack,2011-09-29,True,Crailik
Dead Rising  Off the Record,2011-10-11,True,crnza
The Baconing DLC  Roesha  One Bad Mutha Coop Character,2011-10-11,False,76561198023152575
Disciples III  Resurrection,2011-10-11,True,OptioMajoris
Memoir  Online,2011-10-12,True,johnvu3
Train Simulator Amtrak Acela Express EMU AddOn,2011-10-13,True,EthanDennisMcKormick
Costume Quest,2011-10-14,True,EthanDennisMcKormick
The Sims  Pets,2011-10-18,True,dandeloinz
Gratuitous Space Battles The Parasites,2011-10-17,True,76561198016761464
Serious Sam The Random Encounter,2011-10-24,True,76561198016761464
Puzzler World ,2011-10-24,True,danthettt
Airline Tycoon ,2011-10-24,True,blablabla174
ArcaniA Fall of Setarrif,2011-10-24,True,76561198023971448
The Haunted Hells Reach,2011-10-24,True,DazzaMH
Orcs Must Die  Artifacts of Power,2011-10-25,False,DazzaLCFC
Dungeon Siege III Treasures of the Sun,2011-10-25,False,DBZfreakMBB
DC Universe Online,2011-11-02,True,AZA1498
Tropico  Junta Military DLC,2011-11-03,True,Punpun420
Sonic Generations Collection,2011-11-03,False,Destero
Nancy Drew Alibi in Ashes,2011-11-02,False,comcozzolino01
Orcs Must Die  Lost Adventures,2011-11-08,False,comcozzolino01
Call of Duty Modern Warfare ,2011-11-08,False,76561198052054864
LA Noire,2011-11-08,False,dodecadumpling
LA Noire DLC Bundle,2011-11-08,False,Doobuboo
Men of War Assault Squad  MP Supply Pack Charlie,2011-11-09,True,mr_doominater
Jamestown Gunpowder Treason amp Plot,2011-11-10,True,9856743GH131
Dungeon Defenders Halloween Mission Pack,2011-11-11,True,9856743GH131
Fractal Make Blooms Not War,2011-11-29,True,76561198122724739
Magicka Horror Props Item Pack,2011-11-29,True,76561198082252530
SkyDrift,2011-11-21,True,sven8910
Magicka Holiday Spirit Item Pack,2011-11-29,True,76561198052598003
Total War SHOGUN   The Hattori Clan Pack,2011-11-30,True,76561198055372428
Total War Shogun   Blood Pack DLC,2011-11-30,True,76561198142969038
Magicka The Stars Are Left,2011-11-29,True,76561197970600478
Europa Universalis III Reformation SpritePack,2011-11-30,True,76561198109249377
Real Warfare ,2010-06-11,True,theempireendures
Galactic Civilizations II Ultimate Edition,2011-12-02,False,fall3n_archon
Train Simulator West Coast Main Line North Route AddOn,2011-12-01,True,76561198103524411
APB Reloaded,2011-12-06,True,santiagoivanov
Blackwell Unbound,2012-01-13,True,FaZeWeaver
Men of War Assault Squad  Skirmish Pack ,2011-12-12,True,FlameFireBlast
Killing Floor  Steampunk Character Pack ,2011-12-07,False,neonmotiontv
Flatout  Chaos amp Destruction,2011-12-13,False,76561198018912053
Assassins Creed Revelations  The Ancestors Character Pack,2011-12-13,True,ghoules
Dungeon Defenders The Great Turkey Hunt Mission amp Costumes,2011-12-13,True,frannleman
Tropico  Plantador DLC,2011-12-14,True,TheOnlyTrueGamingGod
Earth Defense Force Insect Armageddon,2011-12-14,True,76561198054397103
Magic  Deck Pack ,2011-12-14,True,76561198054397103
Warhammer  Space Marine  Golden Relic Chainsword,2011-12-15,True,Quazziemodo
Warhammer  Space Marine  Traitor Legions Pack,2011-12-15,True,76561198080865066
Dungeons of Dredmor Realm of the Diggle Gods,2011-12-14,False,Geriland
Warhammer  Space Marine  Emperors Elite Pack,2011-12-15,True,76561198070585472
Pirates of Black Cove Origins,2011-12-15,True,76561198070585472
Warhammer  Space Marine  Golden Relic Bolter,2011-12-15,True,76561198059533968
X Albion Prelude,2011-12-15,True,171516
Trine  Complete Story,2013-06-06,True,76561198079874637
Dungeon Defenders  Quest for the Lost Eternia Shards Part ,2011-12-15,False,Mangoboy2k1
SATAZIUS,2011-12-16,True,borntoeatcake
Fable  The Lost Chapters,2011-12-19,True,gominhagomes
Renegade Ops  Reinforcement Pack,2011-12-19,True,Global
Crazy Machines  Happy New Year DLC,2011-12-19,True,gryphon556
Dungeon Defenders  Etherian Holiday Extravaganza,2011-12-20,True,BurgerStab
Saints Row The Third Warrior Pack,2011-12-20,True,blankv15
Renegade Ops  Coldstrike Campaign,2011-12-19,True,end978
Warhammer  Space Marine  Alpha Legion Champion Armour Set,2011-12-20,True,end978
Warhammer  Space Marine  Salamanders Veteran Armour Set,2011-12-20,True,HappyHouseGnome
Warhammer  Space Marine  Blood Angels Veteran Armour Set,2011-12-20,False,76561198034664008
Warhammer  Space Marine  Legion of the Damned Armour Set,2011-12-20,True,DogHog
Warhammer  Space Marine  Chaos Unleashed Map Pack,2011-12-20,True,ZECOWPOCALYPSEHAZSTARTEDZ
Earth Defense Force Tactician Advanced Tech Package,2011-12-20,False,76561198050540147
Earth Defense Force Trooper Special Issue Enforcer Package,2011-12-20,True,Sk8erboiHongKong
Earth Defense Force Battle Armor Weapon Chest,2011-12-20,True,quillomanar
Oil Rush,2012-01-25,False,hunterkiller247
Train Simulator Woodhead Route AddOn,2012-01-26,False,hunterkiller247
King Arthur II The RolePlaying Wargame,2012-01-27,False,hunterkiller247
King Arthur II Dead Legions,2012-01-27,False,hunterkiller247
Serious Sam ,2005-10-11,False,hunterkiller247
Fortune Summoners,2012-01-30,True,ERROR_LT
Star Trek Online,2010-02-02,False,76561198074377542
Dungeon Defenders Barbarian Hero DLC,2012-01-31,True,martiantrain
Dungeon Defenders Assault Mission Pack,2012-01-31,True,triangless
Jagged Alliance  Back in Action,2012-02-08,True,ihasMUFFINSWAG
Pineapple Smash Crew,2012-02-02,True,76561198076701454
Victoria II A House Divided,2012-02-02,False,76561197999719746
PixelJunk Eden,2012-02-02,True,76561198071834416
Snuggle Truck,2012-02-03,True,jarjarjake
Titan Attacks,2012-02-03,True,FvckkMyOppz
Choplifter HD  Night Avenger Chopper,2012-02-14,True,76561198035590106
Crusader Kings II,2012-02-14,True,toottootverysad
Crusader Kings II Dynasty Shields,2012-02-14,True,amative
Crusader Kings II Mongol Faces,2012-02-14,False,76561198093336165
Xotic DLC Pipe Works Expansion Pack,2012-02-15,True,76561198089772554
Alan Wake,2012-02-16,True,julez225
Train Simulator Glasgow Airport Rail Link Route AddOn,2010-05-05,False,julez225
Magicka Lonely Island Cruise,2012-02-16,True,76561197986552181
Postal III,2011-12-21,True,76561198071041704
Starpoint Gemini,2012-02-16,True,OfficialKilx
Realm of the Mad God,2012-02-20,True,76561198068644976
Hearts of Iron III Dies Irae Stars amp Stripes Spritepack,2012-02-20,True,ItsDerRey
Saints Row The Third  Gangstas in Space,2012-02-21,True,ItsDerRey
Pickers,2012-02-22,True,ItsDerRey
 Amps,2012-02-22,False,76561198033327402
Assassins Creed Revelations  The Lost Archive,2012-02-28,True,koshara
Rayman Origins,2012-03-29,True,76561198101968197
Train Simulator DB Freight s Loco AddOn,2012-03-01,True,JohnnyMcShitty
Cities In Motion Design Dreams,2012-02-29,True,76561198044800577
Vessel,2012-03-01,True,76561198084634633
iBomber Defense Pacific,2012-03-01,False,lexby
Luxor Evolved,2012-03-01,True,76561198015803033
Alan Wake Collectors Edition Extras,2012-03-02,True,Chubiful
The Sims  Showtime,2012-03-06,False,76561198071780641
Stacking,2012-03-06,True,rookynightwing
Containment The Zombie Puzzler,2012-03-02,True,rookynightwing
Train Simulator CologneDusseldorf Route AddOn,2012-03-08,True,Whoppaz
Train Simulator South West Trains Class  EMU AddOn,2012-03-08,True,76561198132960300
Wizorb,2012-03-14,True,XxX_bradley_XxX
Defenders of Ardania,2012-03-14,False,DontCareForURL
Janes Advanced Strike Fighters,2012-03-08,True,lordgraville
Bumbledore,2012-03-15,True,Lord_Zarnox
Dungeon Defenders  Presidents Day Surprise,2012-03-15,True,76561197972209961
Dungeon Defenders  Quest for the Lost Eternia Shards Part ,2012-03-15,False,ly_cheen
Cubemen,2012-03-16,True,m1lkingdud
Myst V,2012-03-16,True,76561198055685900
Dungeon Defenders Lucky Costume Pack,2012-03-16,True,76561198049937609
Space Ark,2012-03-16,True,76561198097320856
Ys The Oath in Felghana,2012-03-19,True,76561197964317648
Take On Helicopters Hinds,2012-03-20,True,niwith
Waveform,2012-03-20,True,MantisTobogganThe2nd
Saints Row The Third  The Trouble with Clones DLC,2012-03-20,True,VanClash
Mutant Storm Reloaded,2012-03-21,True,76561198028388756
Warp,2012-03-21,True,xmatiias
Kingdoms of Amalur Reckoning  Legend of Dead Kel,2012-03-20,True,xmatiias
Total War Shogun   Fall of the Samurai,2012-03-22,False,mda7
Yesterday,2012-03-22,False,mda7
Fowl Space,2012-03-21,False,mda7
Crazy Machines Elements DLC  Collision Course amp Mental Activity,2012-03-23,False,76561198066639517
Midnight Mysteries  Devil on the Mississippi,2012-03-28,True,Lightbekon
Midnight Mysteries  Haunted Houdini,2012-03-28,True,76561198087566671
Tropico  Modern Times,2012-03-29,False,miciah
SwitcheD,2012-03-29,False,Migelino64
Train Simulator Freightliner Class  Loco AddOn,2012-03-29,True,Mikaris
Dungeon Defenders Series EV Hero DLC,2012-03-29,True,lohbsy
Ridge Racer Unbounded,2012-03-29,True,shakingthingsup
Hegemony Gold Wars of Ancient Greece,2012-03-30,True,76561198056913746
Confrontation,2012-04-04,True,Sylveonssssss
Train Simulator Settle to Carlisle Route Addon,2012-04-05,False,76561198038335264
Hack Slash Loot,2012-04-05,False,CorporalTaylor200
Dungeon Defenders Penny Arcade Character Pack,2012-04-05,True,76561198090180844
The White Laboratory Demo,2012-04-06,True,mrthromato98
Atooms to Moolecules Demo,2012-04-06,True,76561198103674275
Imagine Earth,2014-05-20,True,76561198017212077
Scary Girl,2012-04-09,True,MrUnknownEMC
Airline Tycoon  Honey Airlines DLC,2012-04-19,True,MrUnknownEMC
Risen  Dark Waters,2012-04-26,True,mysterd
Dungeon Defenders Quest for the Lost Eternia Shards Part ,2012-04-26,False,n00bmobile
Risen  Dark Waters  Treasure Isle DLC,2012-04-27,True,76561198059715439
Binary Domain,2012-04-27,True,76561198051832446
Analogue A Hate Story,2012-04-27,False,superredranga
Total War SHOGUN   Dragon War Battle Pack,2012-05-01,True,76561198071684592
Saints Row The Third  Steelport Gangs Pack,2012-05-01,True,NinjaCowboy96
Train Simulator Settle Carlisle Specials AddOn,2012-05-03,True,NinjaCowboy96
Ticket to Ride  USA ,2012-05-24,True,NinjaCowboy96
Cities in Motion Paris,2012-05-15,False,NinjaCowboy96
Jagged Alliance  Back in Action Shades of Red DLC,2012-05-15,True,Nipleopleus
Serious Sam HD The Second Encounter,2010-04-28,False,76561198016067437
Serious Sam HD The Second Encounter  Legend of the Beast DLC,2012-05-15,True,76561198044752424
Nancy Drew Tomb of the Lost Queen,2012-05-16,False,No_Count
Dead Hungry Diner,2012-05-16,True,76561198088807138
Train Simulator BR Class  VEP EMU AddOn,2012-05-17,True,76561198080209148
Train Simulator Portsmouth Direct Line Route AddOn,2012-05-17,True,76561198102409708
Resident Evil Operation Raccoon City,2012-05-18,False,2547887
Alien Shooter  Conscription,2012-05-18,True,76561198051139390
Gratuitous Tank Battles,2012-05-17,True,76561198051139390
Farming Simulator Farming Classics Pack ,2012-05-18,True,MexyMax
Ticket to Ride  Europe,2012-05-24,False,76561198099718069
Ticket to Ride,2012-05-24,True,WardPimp
Train Simulator DB BR Loco AddOn,2012-05-24,True,mysterys
Train Simulator Class  Diamond Jubilee Loco AddOn,2012-05-31,True,P51DWT
Ys Origin,2012-05-31,True,P51DWT
Dungeon Defenders Talay Mining Complex Mission Pack,2012-05-31,True,h2ojustaddwater
Max Payne  Rockstar Pass,2012-05-31,True,76561198060678959
Max Payne ,2012-05-31,True,PeaceEagle
Binary Domain  Multiplayer Map Pack,2012-06-01,True,PeaceEagle
Binary Domain  Dan Marshall Pack,2012-06-01,True,souedu
Waveform Eris,2012-06-04,False,Pzop
The Lord of the Rings Online,2012-06-06,True,76561198041739032
Splice,2012-06-13,True,76561198032545347
Indie Game The Movie,2012-06-12,True,PuppyxKitten
Krater,2012-06-12,True,76561198100811093
LEGO Batman  DC Super Heroes,2012-06-22,True,pippipcheeriommmbangersandmash
Quantum Conundrum The Desmond Debacle,2012-06-21,False,76561198054162412
Vindictus,2012-06-22,False,76561198093768306
Sniper Elite V  Kill Hitler   Rifles,2012-06-06,False,speddoman
Call of Duty Modern Warfare  Collection ,2012-06-21,True,76561198035531441
Penny Arcades On the RainSlick Precipice of Darkness ,2012-06-25,True,Reagan3211
The Dark Eye Chains of Satinav,2012-06-22,False,ThatTTMRGuy
Dungeons amp Dragons Online Menace of the Underdark,2012-06-25,True,ILikeMintIceCream
Dungeons amp Dragons Online,2012-06-25,True,ILikeMintIceCream
Tom Clancys Ghost Recon Future Soldier,2012-06-26,False,epic_taco
Crusader Kings II Songs of the Caliph,2012-06-26,True,epic_taco
Expansion  Crusader Kings II Sword of Islam,2012-06-26,True,epic_taco
Quantum Conundrum,2012-06-21,True,epic_taco
Tribes Ascend,2012-06-27,True,spicydoggomemes
Killing Floor  Harold Lott Character Pack,2012-07-05,True,fuckoffandstopsharingmyprofile
Divine Divinity,2002-09-20,False,76561198069668522
Crusader Kings II African Unit Pack,2012-06-26,False,76561198069668522
Xotic DLC Warp Field Expansion Pack,2012-07-06,True,678rtv45
Foreign Legion Multi Massacre,2012-07-09,True,76561198042294034
Dungeon Defenders   Quest for the Lost Eternia Shards Part ,2012-07-10,True,sakmurachan
Magic  Goblin Gangland Deck Key,2012-07-11,True,76561198090934295
Magic  Pack Instinct Deck Key,2012-07-11,False,76561198090934295
Street Fighter X Tekken Hugo Swap Costume,2012-07-20,True,ScreamingAngels
Magic  Obedient Dead Foil Conversion,2012-07-11,False,M_D_
Magic  Goblin Gangland Foil Conversion,2012-07-11,True,ZechLZ
Street Fighter X Tekken Law Swap Costume,2012-07-20,True,-SEVEN-
Street Fighter X Tekken King Swap Costume,2012-07-20,False,-SEVEN-
Street Fighter X Tekken Julia Swap Costume,2012-07-24,True,76561198088748682
Street Fighter X Tekken Paul Swap Costume,2012-07-20,True,SGT_Corrion
Might amp Magic Heroes VI  Pirates of the Savage Sea Adventure Pack,2012-07-12,True,Eshdawg
Street Fighter X Tekken Ibuki Swap Costume,2012-07-20,True,Terminally-Chill
Street Fighter X Tekken Rolento Swap Costume,2012-07-20,True,Terminally-Chill
Street Fighter X Tekken Sagat Swap Costume,2012-07-20,True,SlenderTurtle
Street Fighter X Tekken Dhalsim Swap Costume,2012-07-20,False,76561198068953573
Street Fighter X Tekken Abel Swap Costume,2012-07-20,True,76561198095765519
Street Fighter X Tekken Lili Swap Costume,2012-07-20,True,nomoresilent
Street Fighter X Tekken Zangief Swap Costume,2012-07-20,True,Nyr1
Street Fighter X Tekken Raven Swap Costume,2012-07-24,True,kevin_rudd
Street Fighter X Tekken Yoshimitsu Swap Costume,2012-07-24,True,oddso
Street Fighter X Tekken Jin Swap Costume,2012-07-24,True,76561198119376787
Street Fighter X Tekken Ogre Swap Costume,2012-07-24,True,76561198084063741
Street Fighter X Tekken Xiaoyu Swap Costume,2012-07-24,True,76561198119867383
Street Fighter X Tekken Tekken Swap Costume Complete Pack,2012-07-24,True,nobody114514
Street Fighter X Tekken Street FighterTekken Shared Assist Gem Pack ,2012-07-24,True,76561198095748015
Street Fighter X Tekken Street FighterTekken Shared Assist Gem Pack ,2012-07-24,True,hedged
MDK HD,2012-07-30,True,floppymoppy
Shatter Official Videogame Soundtrack,2012-07-30,True,spankwankable
The Book of Unwritten Tales Digital Extras,2012-07-30,True,SwegSpuudddyyy69
Hearts of Iron III US Infantry Sprite Pack,2012-07-31,False,TustardCart
The Book of Unwritten Tales,2012-07-31,False,76561198074319125
Victoria II A House Divided  American Civil War Spritepack,2012-07-31,True,GhostZeroXD
Street Fighter X Tekken Street Fighter Swap Costume Complete Pack,2012-07-24,True,steviescoop
A Virus Named TOM,2012-08-01,True,76561198146862794
eXceed nd  Vampire REX,2012-08-02,True,76561198062469316
A Virus Named TOM Soundtrack,2012-08-01,True,76561198070588180
eXceed rd  Jade Penetrate Black Package,2012-08-02,True,StrayDog8797
Ticket to Ride  Legendary Asia,2012-08-02,True,SFort
Death Rally,2012-08-03,True,SuperScore
Train Simulator CN SD Wide Nose Loco AddOn,2012-08-03,False,tamlieu
Sleeping Dogs The Red Envelope Pack,2012-08-21,False,tamlieu
Train Simulator SD V Volume  Loco AddOn,2012-08-03,True,RIPTatsumaru
Killing Floor  Ash Harding Character Pack,2012-08-10,True,hauntedblast
Hero Academy,2012-08-10,True,Gotemlostinme
Train Simulator DB ICE  EMU AddOn,2012-08-09,False,terrill000
